ncID,tarID,Interaction
n121,Q13148,1
n127,Q9HCE1,1
n1315,P35637,1
n1315,Q01844,1
n1315,Q13148,1
n1315,Q49AS9,1
n1315,Q9NY12,1
n1315,Q9UKC9,1
n1414,J9JEG3,1
n1414,P0A6X3,1
n1414,P13445,1
n1433,P84104,1
n1433,Q8VE97,1
n1460,P84104,1
n1460,Q8VE97,1
n1461,Q8VE97,1
n1579,P84104,1
n1579,Q8VE97,1
n177816,G5EGR6,1
n177817,G5EGR6,1
n177965,G5EGR6,1
n178012,G5EGR6,1
n178094,G5EGR6,1
n178096,G5EGR6,1
n178110,G5EGR6,1
n178123,G5EGR6,1
n178127,G5EGR6,1
n178128,G5EGR6,1
n178133,G5EGR6,1
n178134,G5EGR6,1
n178137,Q17339,1
n178162,G5EGR6,1
n178164,G5EGR6,1
n1851,P01106,1
n1859,O08688,1
n1859,P84104,1
n1859,Q8R1B4,1
n1859,Q8VE97,1
n1859,Q91WM3,1
n1868,Q13148,1
n1877,B1IVL4,1
n1877,P0A6H1,1
n1877,P0AFZ3,1
n1877,P0AG67,1
n1877,P0C077,1
n1877,P0C0V0,1
n1877,P0CE47,1
n1877,P0CE48,1
n1877,P21499,1
n1877,P23865,1
n1877,P42184,1
n1877,P77398,1
n198938,Q05C33,1
n199030,B7ZL34,1
n199030,O00425,1
n199030,P26599,1
n199030,Q13148,1
n199030,Q8NDV7,1
n199030,Q9H9G7,1
n199030,Q9HCJ0,1
n199030,Q9HCK5,1
n199030,Q9NZI8,1
n199030,Q9UKV8,1
n199030,Q9UL18,1
n199030,Q9UPQ9,1
n200540,Q05C33,1
n203786,Q13148,1
n203786,Q49AS9,1
n203786,Q9HCE1,1
n2060,P26599,1
n2060,Q01844,1
n2060,Q13148,1
n2060,Q49AS9,1
n2110,P84104,1
n2130,P84104,1
n2130,Q8VE97,1
n2146,P84104,1
n2146,Q8VE97,1
n2156,P84104,1
n2157,P84104,1
n2157,Q8VE97,1
n2170,Q07807,1
n223,G5EGR6,1
n243,Q13148,1
n263510,Q4VA08,1
n263537,Q8VE97,1
n263549,Q4VA08,1
n263563,P84104,1
n263844,Q05C33,1
n263875,Q05C33,1
n263880,Q05C33,1
n263885,Q05C33,1
n263900,Q05C33,1
n263936,Q4VA08,1
n263941,Q05C33,1
n263950,Q05C33,1
n263950,Q4VA08,1
n263956,Q05C33,1
n263960,Q4VA08,1
n263964,Q05C33,1
n263969,Q05C33,1
n263973,Q4VA08,1
n263981,Q05C33,1
n264009,Q05C33,1
n264034,Q05C33,1
n264043,Q05C33,1
n264048,Q4VA08,1
n264053,Q05C33,1
n264053,Q4VA08,1
n264065,Q8VE97,1
n264146,Q4VA08,1
n264173,Q05C33,1
n264173,Q4VA08,1
n264264,Q05C33,1
n264314,Q4VA08,1
n264321,O54864,1
n264321,Q7TPM0,1
n264321,Q80U70,1
n264321,Q80Y84,1
n264321,Q9CQJ4,1
n264344,Q05C33,1
n264346,Q05C33,1
n264410,Q4VA08,1
n264431,Q05C33,1
n264435,Q05C33,1
n264461,Q61188,1
n264493,Q4VA08,1
n264581,P84104,1
n264602,Q4VA08,1
n264673,Q05C33,1
n264709,Q05C33,1
n264747,I6L9I7,1
n264747,O09106,1
n264747,O54864,1
n264747,O88974,1
n264747,Q7TPM0,1
n264765,Q05C33,1
n264766,Q4VA08,1
n264800,Q05C33,1
n264882,Q05C33,1
n264998,Q4VA08,1
n265007,P84104,1
n265080,Q05C33,1
n265122,Q05C33,1
n265125,Q4VA08,1
n265145,Q05C33,1
n265149,Q8CJG0,1
n265216,Q4VA08,1
n265226,Q4VA08,1
n265257,Q05C33,1
n265303,P84104,1
n265303,Q8CJG0,1
n265319,Q4VA08,1
n265327,Q4VA08,1
n265334,Q4VA08,1
n265359,Q4VA08,1
n265362,Q05C33,1
n265419,Q4VA08,1
n265420,Q05C33,1
n265443,Q05C33,1
n265471,Q05C33,1
n265473,Q05C33,1
n265511,Q4VA08,1
n265556,Q05C33,1
n265588,Q05C33,1
n265588,Q4VA08,1
n265594,Q4VA08,1
n265606,Q05C33,1
n265640,Q05C33,1
n265651,Q4VA08,1
n265707,Q4VA08,1
n265823,Q05C33,1
n265840,Q05C33,1
n265872,Q05C33,1
n265891,Q4VA08,1
n265930,Q05C33,1
n265934,Q4VA08,1
n265940,Q05C33,1
n265983,Q05C33,1
n265990,Q8CJG0,1
n266012,Q4VA08,1
n266107,Q05C33,1
n266114,Q05C33,1
n266114,Q4VA08,1
n266151,Q05C33,1
n266174,Q4VA08,1
n266185,Q05C33,1
n266284,Q05C33,1
n266284,Q4VA08,1
n266285,Q4VA08,1
n266286,P84104,1
n266302,Q05C33,1
n266319,Q05C33,1
n266341,Q4VA08,1
n266375,Q05C33,1
n266402,Q4VA08,1
n266439,Q4VA08,1
n266444,Q05C33,1
n266445,Q4VA08,1
n266462,Q4VA08,1
n266483,Q05C33,1
n266489,Q4VA08,1
n266495,Q05C33,1
n266500,Q4VA08,1
n266549,Q05C33,1
n266549,Q4VA08,1
n266565,Q05C33,1
n266618,Q05C33,1
n266628,Q05C33,1
n266643,Q05C33,1
n266643,Q4VA08,1
n266677,Q05C33,1
n266677,Q4VA08,1
n266697,Q4VA08,1
n266717,Q4VA08,1
n266732,Q4VA08,1
n266733,Q05C33,1
n266784,Q4VA08,1
n266814,Q05C33,1
n266832,Q05C33,1
n266839,Q4VA08,1
n266850,Q4VA08,1
n266856,Q05C33,1
n266893,Q4VA08,1
n266910,Q4VA08,1
n266910,Q8CJG0,1
n266957,O54864,1
n266957,Q00899,1
n266957,Q80Y84,1
n266959,Q4VA08,1
n266993,Q05C33,1
n266997,Q05C33,1
n267040,Q4VA08,1
n267057,Q05C33,1
n267062,Q05C33,1
n267072,Q05C33,1
n267077,Q05C33,1
n267084,Q05C33,1
n267106,Q05C33,1
n267107,Q05C33,1
n267116,Q05C33,1
n267116,Q4VA08,1
n267127,Q05C33,1
n267141,P84104,1
n267180,Q05C33,1
n267210,Q05C33,1
n267210,Q4VA08,1
n267278,Q61188,1
n267287,Q4VA08,1
n267289,Q4VA08,1
n267302,Q05C33,1
n267330,Q05C33,1
n267330,Q4VA08,1
n267336,Q05C33,1
n267357,P84104,1
n267357,Q8VE97,1
n267371,Q05C33,1
n267386,P84104,1
n267386,Q4VA08,1
n267394,Q05C33,1
n267405,Q8CJG0,1
n267420,Q05C33,1
n267422,Q05C33,1
n267458,Q05C33,1
n267478,Q4VA08,1
n267514,Q05C33,1
n267527,Q4VA08,1
n267537,Q05C33,1
n267543,Q05C33,1
n267564,Q05C33,1
n267573,Q4VA08,1
n267574,Q05C33,1
n267574,Q4VA08,1
n267585,Q4VA08,1
n267611,Q05C33,1
n267643,Q05C33,1
n267649,Q05C33,1
n267649,Q4VA08,1
n267662,Q4VA08,1
n267686,Q05C33,1
n267689,Q4VA08,1
n267712,Q05C33,1
