ncID,tarID,Interaction
1DRZ-B,1DRZ-A,1
2R93-R,2R93-B,1
2R93-R,2R93-A,1
1VFG-C,1VFG-A,1
1JBT-C,1JBT-A,1
1EC6-C,1EC6-B,1
1F8V-R,1F8V-C,1
1F8V-R,1F8V-E,1
3CW1-V,3CW1-G,1
3CW1-V,3CW1-B,1
3CW1-W,3CW1-T,1
3CW1-V,3CW1-P,1
3CW1-X,3CW1-Y,1
3CW1-X,3CW1-2,1
3CW1-X,3CW1-5,1
3CW1-V,3CW1-K,1
3CW1-X,3CW1-J,1
3CW1-V,3CW1-9,1
1HQ1-B,1HQ1-A,1
1DUL-B,1DUL-A,1
2NQP-F,2NQP-C,1
2AZ2-C,2AZ2-A,1
2HGH-B,2HGH-A,1
2R92-T,2R92-B,1
2R92-T,2R92-A,1
2B2D-S,2B2D-C,1
2IZN-R,2IZN-A,1
1R3E-E,1R3E-A,1
3KS8-F,3KS8-A,1
2B2E-R,2B2E-C,1
2XFZ-X,2XFZ-Y,1
2WRI-X,2WRI-Y,1
1ZE2-D,1ZE2-B,1
1ZE2-C,1ZE2-A,1
3MUM-R,3MUM-P,1
3MUR-R,3MUR-P,1
1X1L-A,1X1L-X,1
1RPU-D,1RPU-B,1
2ZH4-B,2ZH4-A,1
2PLY-C,2PLY-A,1
1WSU-G,1WSU-A,1
1URN-R,1URN-C,1
2ZH3-B,2ZH3-A,1
2JPP-D,2JPP-B,1
2WRN-Y,2WRN-Z,1
3CZ3-E,3CZ3-A,1
2CV1-D,2CV1-B,1
3CZ3-G,3CZ3-B,1
1AQ4-S,1AQ4-C,1
2C4Y-S,2C4Y-C,1
1FJE-A,1FJE-B,1
3KFU-N,3KFU-H,1
3KFU-N,3KFU-B,1
3KFU-L,3KFU-F,1
3KFU-L,3KFU-G,1
1QZW-B,1QZW-A,1
2DLC-Y,2DLC-X,1
1ZDH-R,1ZDH-A,1
1P6V-B,1P6V-C,1
2GJE-R,2GJE-D,1
2GJE-R,2GJE-A,1
2IZ8-R,2IZ8-A,1
2WYY-S,2WYY-J,1
2FK6-R,2FK6-A,1
1Q2R-F,1Q2R-C,1
3DEG-G,3DEG-C,1
1A9N-R,1A9N-D,1
1A9N-Q,1A9N-A,1
2IY3-B,2IY3-A,1
2PXV-B,2PXV-A,1
1URN-P,1URN-A,1
3HTX-E,3HTX-D,1
3CIY-D,3CIY-A,1
3KTV-A,3KTV-B,1
2D6F-F,2D6F-D,1
3HJY-C,3HJY-A,1
2C50-R,2C50-A,1
1H3E-B,1H3E-A,1
1F6U-B,1F6U-A,1
2J0Q-H,2J0Q-I,1
2J0Q-H,2J0Q-B,1
1AUD-B,1AUD-A,1
1JID-B,1JID-A,1
1KOG-K,1KOG-D,1
1ZBH-F,1ZBH-D,1
1Q2S-E,1Q2S-A,1
2NUF-C,2NUF-A,1
2B3J-G,2B3J-C,1
2XLJ-B,2XLJ-A,1
2B2D-R,2B2D-C,1
2DER-D,2DER-B,1
3IAB-R,3IAB-A,1
3IAB-R,3IAB-B,1
2XLI-B,2XLI-A,1
1ZDI-R,1ZDI-A,1
3EPL-E,3EPL-B,1
2JEA-C,2JEA-B,1
2JEA-C,2JEA-A,1
1U1Y-S,1U1Y-B,1
2CSX-D,2CSX-A,1
1RY1-M,1RY1-D,1
1RY1-M,1RY1-C,1
5MSF-S,5MSF-C,1
3FOZ-C,3FOZ-B,1
1JBR-C,1JBR-A,1
2FY1-B,2FY1-A,1
2C4Z-R,2C4Z-A,1
1QF6-B,1QF6-A,1
2AKE-B,2AKE-A,1
3FTF-D,3FTF-A,1
2B9M-X,2B9M-Y,1
2XLK-D,2XLK-B,1
2IY5-T,2IY5-B,1
1EIY-C,1EIY-A,1
3HL2-E,3HL2-B,1
1T4L-A,1T4L-B,1
3CZ3-F,3CZ3-D,1
2OB7-A,2OB7-B,1
1AQ3-R,1AQ3-C,1
2IZM-S,2IZM-C,1
2C51-S,2C51-C,1
1J2B-C,1J2B-B,1
2ZH9-B,2ZH9-A,1
3BOY-D,3BOY-C,1
5MSF-R,5MSF-A,1
2B3J-H,2B3J-C,1
2AZ2-D,2AZ2-B,1
3IWN-B,3IWN-D,1
2DRA-B,2DRA-A,1
2F8K-B,2F8K-A,1
1K8W-B,1K8W-A,1
2IZM-R,2IZM-C,1
1U6P-B,1U6P-A,1
1EXD-B,1EXD-A,1
2GJW-I,2GJW-C,1
3DKN-F,3DKN-A,1
3AKZ-E,3AKZ-B,1
3AL0-E,3AL0-B,1
3AL0-E,3AL0-C,1
2BU1-S,2BU1-C,1
2BS0-S,2BS0-C,1
2J0S-E,2J0S-T,1
2J0S-E,2J0S-A,1
1XOK-A,1XOK-C,1
1L1C-C,1L1C-A,1
2BQ5-R,2BQ5-A,1
2PXF-B,2PXF-A,1
3A2K-D,3A2K-B,1
2GJW-E,2GJW-B,1
2ESE-B,2ESE-A,1
1AQ3-S,1AQ3-C,1
3IVK-C,3IVK-B,1
2DR5-B,2DR5-A,1
2OJ3-B,2OJ3-A,1
2B63-R,2B63-B,1
2B63-R,2B63-A,1
1AQ4-R,1AQ4-A,1
1EKZ-B,1EKZ-A,1
1ZDI-S,1ZDI-B,1
2W2H-S,2W2H-A,1
2W2H-S,2W2H-D,1
2JPP-C,2JPP-B,1
1J1U-B,1J1U-A,1
1B23-R,1B23-P,1
1U0B-A,1U0B-B,1
2NUE-C,2NUE-B,1
2NR0-H,2NR0-C,1
2EZ6-C,2EZ6-A,1
1ZBH-E,1ZBH-A,1
3D5C-V,3D5C-X,1
2B6G-B,2B6G-A,1
3EQ4-Y,3EQ4-X,1
2AZ0-D,2AZ0-B,1
1IL2-D,1IL2-A,1
1ASZ-R,1ASZ-B,1
1R3E-C,1R3E-A,1
2B64-X,2B64-Y,1
1Q2S-F,1Q2S-B,1
2PXU-B,2PXU-A,1
3DEG-I,3DEG-C,1
2ZH1-B,2ZH1-A,1
2C4Z-S,2C4Z-C,1
3A6P-J,3A6P-H,1
3A6P-J,3A6P-F,1
2B3J-F,2B3J-A,1
2B2G-S,2B2G-C,1
2C4Q-S,2C4Q-C,1
2AB4-B,2AB4-A,1
3DKN-D,3DKN-A,1
3EQ3-Y,3EQ3-X,1
2RFK-E,2RFK-A,1
2WYY-R,2WYY-F,1
2BNY-R,2BNY-B,1
1M5K-B,1M5K-C,1
2J28-8,2J28-9,1
1E8S-C,1E8S-B,1
1E8S-C,1E8S-A,1
3K0J-F,3K0J-D,1
2OZB-F,2OZB-D,1
2OZB-C,2OZB-B,1
1R9F-B,1R9F-A,1
2XB2-E,2XB2-T,1
2XB2-E,2XB2-A,1
2DRB-B,2DRB-A,1
1OB5-B,1OB5-C,1
2B2G-R,2B2G-C,1
2C50-S,2C50-C,1
2ZHB-B,2ZHB-A,1
1URN-Q,1URN-B,1
3KTW-C,3KTW-A,1
